"_time",ENTRY
"2022-01-27T14:35:00.000-0800","T109 operator was issued the wrong dispatch time, (304) seconds late."
"2022-01-27T14:30:00.000-0800","T315 track inspected for WYSD phone alarm 18.9 W1 (5) minutes late. Nothing seen."
"2022-01-27T14:21:00.000-0800","T215 A10-1 ""311"" no ATO doors c1250."
"2022-01-27T13:51:00.000-0800","T405 K30-1 BPD hold R50-1 for welfare check. (12)"
"2022-01-27T13:51:00.000-0800","C80 TM Zone unstaffed for spraying."
"2022-01-27T13:11:00.000-0800","T123 hole S50-M90 roundtrip UFN due to staffing shortage."
"2022-01-27T13:10:00.000-0800","(ref 1255) Systemwide TPA made for R line delay."
"2022-01-27T13:02:00.000-0800","(ref 1255) T415 R20-2 c1707 PDBCO and dumped per Tango[Stephen]. T207 RRN on the R1 Track into R20-R10 and K30-3. PA's & TPA made on T207."
"2022-01-27T12:59:00.000-0800","T121 S50-1 late T/O board up, FW scheduling error."
"2022-01-27T12:57:00.000-0800","(ref 1255) T415 now ATO. (184) second delay now (253) seconds late."
"2022-01-27T12:57:00.000-0800","T407 W40-3 unable to TLV, troubleshooting with Tango."
"2022-01-27T12:55:00.000-0800","T415 approaching R20-2 BOIP, troubleshooting with Tango."
"2022-01-27T12:26:00.000-0800","T117 hole S50-M90 roundtrip UFN due to staffing shortage."
"2022-01-27T12:00:00.000-0800","T213 hole S50-R60 roundtrip UFN due to staffing shortage."
"2022-01-27T11:58:00.000-0800","T301 K20-2 BPD hold K10-2 for welfare check. (11)"
"2022-01-27T11:35:00.000-0800","T513 L30-1 No ATO doors, 311(c343)."
"2022-01-27T11:32:00.000-0800","T321 M50-1 BPD hold M90-3 for welfare check. (10)"
"2022-01-27T11:30:00.000-0800","COVID TPA."
"2022-01-27T11:22:00.000-0800","(ref 1122) T407 released ATO. (389) second delay."
"2022-01-27T11:11:00.000-0800","T107 S50-1 No ATO doors, 311(c1256)."
"2022-01-27T11:09:00.000-0800","T407 approaching R10-1 BPD hold R10-1 for a welfare check. (9)"
"2022-01-27T11:07:00.000-0800","T509 L30-1 late departing, T/O boarded L30-2 FW failed to advise rotating platforms due to staffing shortage."
"2022-01-27T10:58:00.000-0800","(ref 0948) T519 M90-1 now in service, previous hole filled."
"2022-01-27T10:54:00.000-0800","T201 A80-2 No ATO doors, 311(c1266)."
"2022-01-27T10:52:00.000-0800","(ref 1040) T975 A75XL Gate B routed back into OHY."
"2022-01-27T10:45:00.000-0800","(ref 1040) T975 circulation train stopped in A75XL with ATO issues. T207 & T109 delayed traversing A75XL. T207(266) now (351), T109(183) now (281) second delay."
"2022-01-27T10:44:00.000-0800","(ref 1039) T207 released ATO."
"2022-01-27T10:40:00.000-0800","T975 9 car circulation train dispatching OHY ATF02 to K30 and back to OHY."
"2022-01-27T10:39:00.000-0800","T207 approaching A70-1 BPD hold A70-1 for welfare check. (8)"
"2022-01-27T10:30:00.000-0800","T407 W10-2 door open, T/O on board walking through to locate car no suspects. Tango advised."
"2022-01-27T10:30:00.000-0800","T501 A40-2 No ATO doors, 311(c365)."
"2022-01-27T10:28:00.000-0800","T505 L30-1 No ATO doors, 311(367)."
"2022-01-27T10:19:00.000-0800","(ref 1009) T303 released ATO. (173) second delay."
"2022-01-27T10:13:00.000-0800","T225 S50-2 No ATO doors, 311(c385)."
"2022-01-27T10:11:00.000-0800","T123 hole S50-M90 roundtrip UFN due to staffing shortage."
"2022-01-27T10:10:00.000-0800","T313 departing C10-2 BPD hold M10-1 for person(s) engaging in sexual activity on board. (7)"
"2022-01-27T10:09:00.000-0800","T303 approaching M90-2 BPD hold M70-2 for welfare check. (6)"
"2022-01-27T10:03:00.000-0800","(ref 0913) Track1[Avalos] cleared Cat B W/O's for the C1 Track at C54XL. Protections released."
"2022-01-27T09:48:00.000-0800","T519 hole L30-M90 roundtrip UFN due to car shortage."
"2022-01-27T09:26:00.000-0800","T117 hole S50-M90 roundtrip UFN due to staffing shortage."
"2022-01-27T09:25:00.000-0800","(ref 0908) T317 released ATO. (1184) second delay. Delay TPA made recovery in progress. T501(1162), T101(860), T319(714), T503(745), T201(314) & T419(575) seconds late."
"2022-01-27T09:22:00.000-0800","(ref 0908) T417 RRN M1 Track into M10 to MX/CX Track into K10-3."
"2022-01-27T09:18:00.000-0800","(ref 0908) Delay TPA made on M line."
"2022-01-27T09:15:00.000-0800","(ref 0908) BPD on scene at M10."
"2022-01-27T09:14:00.000-0800","(ref 0907) T303 released ATO. (81) second delay."
"2022-01-27T09:13:00.000-0800","Track1[Avalos] issued Cat B W/O's for the C1 Track at C54XL for CPUC Inspection. Speed Restrictions established and verified. Train holds and gate cancels."
"2022-01-27T09:08:00.000-0800","T317 M10-2 BPD hold M10-2 for a report of a man with a gun. (5)"
"2022-01-27T09:07:00.000-0800","T303 TBT M1 Track approaching M16-1 BPD hold M30-1 for a mask violation. (4)"
"2022-01-27T09:00:00.000-0800","COVID TPA."
"2022-01-27T09:00:00.000-0800","T213 hole S50-R60 roundtrip UFN due to staffing shortage."
"2022-01-27T08:41:00.000-0800","(ref 0818) BPD QOL Sweeps cancelled due to loss of ventilation control in TBT."
"2022-01-27T08:40:00.000-0800","BPD QOL Sweeps M16-2."
"2022-01-27T08:18:00.000-0800","Multiple alarms for TBT Instrusion, Fans, BD & Comm alarms in TBT possible breaker trip. Power & Comm Crews in route to TBT. Loss of Control for ventilation on the Oakland side of TBT. OFD advised."
"2022-01-27T08:15:00.000-0800","T217 R30-2 BPD hold R30-2 for a mask violator. (3)"
"2022-01-27T08:08:00.000-0800","T215 K30-2 No ATO doors, 311(c1250)."
"2022-01-27T07:57:00.000-0800","COVID TPA."
"2022-01-27T07:49:00.000-0800","T225 dispatched ATF02 replacement, late arriving A70-2. (349) seconds late."
"2022-01-27T07:38:00.000-0800","T501 L30-2 late departing, FW scheduling error. (343) second delay."
"2022-01-27T07:35:00.000-0800","COVID TPA."
"2022-01-27T07:32:00.000-0800","(ref 0708) T209 released ATO. (120) second delay."
"2022-01-27T07:21:00.000-0800","T501/T950 OOS to ODY for overdue PM c373 & c1753. L30 now rolling."
"2022-01-27T07:17:00.000-0800","T313 M50-1 No ATO doors, 311(c3066)."
"2022-01-27T07:15:00.000-0800","T225/T625 S50-2 OOS to OHY, c1685 PDBCO for prop faults & c1583 HVAC & prop faults. Replacement T225 dispatching OHY north to R60."
"2022-01-27T07:11:00.000-0800","T123 hole S50-M90 roundtrip UFN due to staffing shortage."
"2022-01-27T07:10:00.000-0800","T315 K30-4 door open, suspect 4 cars back self cleared. Tango advised."
"2022-01-27T07:08:00.000-0800","T209 approaching R40-2 BPD hold K10-2 for mask violation & disturbance. (2)"
"2022-01-27T07:00:00.000-0800","COVID TPA."
"2022-01-27T06:57:00.000-0800","T407 W40-3 clearing 9700 set. Tango advised."
"2022-01-27T06:43:00.000-0800","T201 A30-1 No ATO doors, 311(c373)."
"2022-01-27T06:35:00.000-0800","T401 W40-3 No ATO doors, 311(c1235)."
"2022-01-27T06:30:00.000-0800","COVID TPA."
"2022-01-27T06:26:00.000-0800","T117 hole S50-M90 roundtrip UFN due to staffing shortage."
"2022-01-27T06:03:00.000-0800","T503 M10-1 No ATO doors, 311(c365)."
"2022-01-27T06:00:00.000-0800","Medic10 & Medic16 checked in."
"2022-01-27T06:00:00.000-0800","T213 hole S50-R60 roundtrip UFN due to staffing shortage."
"2022-01-27T05:57:00.000-0800","M10 staffed."
"2022-01-27T05:54:00.000-0800","T503 A20-2 No ATO doors, 311(c365). Tango advised M/L Tech at M10."
"2022-01-27T05:51:00.000-0800","T225 R60-2 troubleshooting FIMS in c1685 with Tango. (216) second delay."
"2022-01-27T05:50:00.000-0800","T503 A30-2 No ATO doors, 311(c365)."
"2022-01-27T05:46:00.000-0800","T503 A40-2 No ATO doors, 311(365)."
"2022-01-27T05:40:00.000-0800","BPD performing QOL Sweeps M16-2, T/O's advised to take release from BPD on the platform. (1)"
"2022-01-27T05:28:00.000-0800","T503 late arriving L20-2, gate stopped L25. (214) second delay."
"2022-01-27T05:28:00.000-0800","T501/901 has a high hour PM in C1753. Train will go OOS at L30 and balance to ODY. L30 will roll numbers till the train comes back from ODY."
"2022-01-27T05:25:00.000-0800","(ref 0522) T323 BPD hold moved from K10 to K30."
"2022-01-27T05:22:00.000-0800","T303 BPD hold at K10-1 for a disturbance."
"2022-01-27T05:07:00.000-0800","All stations opened/staffed except M10 & Y10(single staffed), TVP's established per procedure. SOFO[Meyers]."
"2022-01-27T05:05:00.000-0800","T203 A90-2, no ATO doors, 311. Lead unit is C."
"2022-01-27T05:00:00.000-0800","M10 opened by the Nightrider, unstaffed."
"2022-01-27T04:57:00.000-0800","Core Line Blanket released back to Central. All blankets, no work areas."
"2022-01-27T04:56:00.000-0800","T511 track inspection completed for switch tie replacement at M87XL switch 133, confirms area is clear for ATO."
"2022-01-27T04:33:00.000-0800","T105 track 1st train track inspection for damaged fence at MP 19.1 A2 Track, area is clear for train movement. A78XL cranks verified."
"2022-01-27T04:30:00.000-0800","Power32 heading to W30 to check on Fire summary alarms at W30."
"2022-01-27T04:29:00.000-0800","L-Line Blanket released back to Central."
"2022-01-27T04:28:00.000-0800","Dispatches in progress."
"2022-01-27T04:24:00.000-0800","C-Line Blanket released back to Central."
"2022-01-27T04:22:00.000-0800","M-Line Blanket released back to Central."
"2022-01-27T04:20:00.000-0800","GEALOC's reset."
"2022-01-27T04:10:00.000-0800","A-Line Blanket released back to Central."
"2022-01-27T04:06:00.000-0800","R-Line Blanket released back to Central. W-Line blanket released back to Central."
"2022-01-27T04:05:00.000-0800","S-Line Blanket cancelled, released back to Central."
"2022-01-27T04:04:00.000-0800","Holes advisory: OHY reports staffing shortages and will be running holes on the following trains: T213 S50/R60 RT, T117 S50/M90 RT, and T123 S50/M90 RT UFN."
"2022-01-27T03:35:00.000-0800","RR065 Vactor Truck had the boom extended and damaged a 10 foot section of fencing near MP 19.1 A2 Track just past A77XL. Track, No injuries to report, very minor damage to the boom arm of the vehicle. Grounds advised and responding to repair the fence. Safety advised."
"2022-01-27T03:00:00.000-0800","E-Line Docs."
"2022-01-27T03:00:00.000-0800","Ventilation Report for 1/26/22."
"2022-01-27T02:38:00.000-0800","R-Line Blanket established."
"2022-01-27T02:30:00.000-0800","S-Line Blanket establsihed."
"2022-01-27T02:29:00.000-0800","W-Line Blanket established."
"2022-01-27T02:03:00.000-0800","L-Line Blanket established."
"2022-01-26T02:07:00.000-0800","EOR."
"2022-01-26T01:49:00.000-0800","(ref 0026) T203 released ATO. (184) second delay now (829) seconds late."
"2022-01-26T01:39:00.000-0800","Core Blanket established."
"2022-01-26T01:29:00.000-0800","(ref 0024) T323 released ATO. (265) second delay now (685) seconds late."
"2022-01-26T01:23:00.000-0800","T203 A50-1 No ATO doors, 311(c434)."
"2022-01-26T01:07:00.000-0800","BPD assistance requested to close M20, R30 & R40."
"2022-01-26T01:02:00.000-0800","All trains at K30 for the final meet released ATO."
"2022-01-26T01:00:00.000-0800","S50 TM Zone unstaffed."
"2022-01-26T00:58:00.000-0800","DMZ8 IC with 9,10,11,12 & 13 issued Cat B W/O's for all tracks MW18 for set on. Train holds and gate cancels."
"2022-01-26T00:53:00.000-0800","DMZ1 IC with DMZ & DMZ3 issued Cat B W/O's for the M2 Track between MP 12.7 - M60. Prohibits established and verified, No Trains & Power off."
"2022-01-26T00:45:00.000-0800","C80 TM Zone unstaffed."
"2022-01-26T00:39:00.000-0800","(ref 0023) T319 released ATO. (212) second delay."
"2022-01-26T00:27:00.000-0800","DMZ1 IC with DMZ2 & DMZ3 issued Cat B W/O's for all track MW02 for set on. Train holds and gate cancels."
"2022-01-26T00:26:00.000-0800","T203 R60-2 BPD hold A90-1 for BPD Sweep. (35)"
"2022-01-26T00:24:00.000-0800","T323 C70-2 BPD hold M40-1 for BPD Sweep. (34)"
"2022-01-26T00:23:00.000-0800","T225 K10-2 BPD hold A90-1 for BPD Sweep. (33)"
"2022-01-26T00:23:00.000-0800","T319 M10-1 BPD hold M40-1 for BPD Sweep. (32)"
"2022-01-26T00:17:00.000-0800","207 K10-1 No ATO doors, 311(c385)."
"2022-01-26T00:06:00.000-0800","(ref 0001) T507 released ATO. (422) second delay."
"2022-01-26T00:05:00.000-0800","T225 RTF02 T/O late board up, ORT unable to locate T/O UOR requested. (620) seconds late."
"2022-01-26T00:01:00.000-0800","T507 M30-1 BPD hold M30-1 for person in the M1 Track. (31)"
"2022-01-25T23:59:00.000-0800","T507 M20-1 issued road into M20-1 person reported in the M1 Track and now on the platform. BPD advised. (119) second delay."
"2022-01-25T23:55:00.000-0800","T225 late dispatching RTF02, late T/o board up."
"2022-01-25T23:41:00.000-0800","T511 L30-2 No ATO doors, 311(c449)."
"2022-01-25T23:32:00.000-0800","COVID TPA."
"2022-01-25T23:21:00.000-0800","(ref 2134) A60 now staffed."
"2022-01-25T23:09:00.000-0800","(ref 2300) T301 released ATO. (488) second delay."
"2022-01-25T23:07:00.000-0800","COVID TPA."
"2022-01-25T23:05:00.000-0800","T503 A40-2 clearing 9700 set."
"2022-01-25T23:05:00.000-0800","T503 A40-2 No ATO doors, 311(c365)."
"2022-01-25T23:00:00.000-0800","T301 Y10-1 BPD hold Y10-1 for a disturbance on board. (30)"
"2022-01-25T22:57:00.000-0800","T225 A50-2 BPD hold A50-2 for welfare check. (96) second delay now (193) seconds late. (29)"
"2022-01-25T22:53:00.000-0800","(ref 2252) T305 released ATO, door open self cleared."
"2022-01-25T22:52:00.000-0800","T305 W10-1 door open, T/O headed back to check suspect about 8 cars back."
"2022-01-25T22:43:00.000-0800","(ref 2232) T507 released ATO. (374) second delay now (653) seconds late. Delay TPA made on T507. T207(342) second delay now (563) seconds late."
"2022-01-25T22:40:00.000-0800","(ref 2232) T207 traversing A45XL RRN into A50-2 around T507 A50-1."
"2022-01-25T22:32:00.000-0800","T507 approaching A40-1 BPD hold A50-1 for drug activity. (28)"
"2022-01-25T22:30:00.000-0800","COVID TPA."
"2022-01-25T22:18:00.000-0800","T958 8 car balance dispatching ODY to ORY."
"2022-01-25T22:04:00.000-0800","(ref 2156) T507 released ATO. (225) second delay."
"2022-01-25T22:04:00.000-0800","COVID TPA."
"2022-01-25T21:56:00.000-0800","T507 approaching M60-2 BPD hold M40-2 for someone smoking on board and exposing themselves. (27)"
"2022-01-25T21:45:00.000-0800","(ref 2137) T415 R60-1 patron off boarded. (362) second delay."
"2022-01-25T21:37:00.000-0800","T415 R60-1 person refusing to off board c1601. BPD advised."
"2022-01-25T21:36:00.000-0800","(ref 2133) T323 released ATO. (129) second delay."
"2022-01-25T21:35:00.000-0800","(ref 2130) T225 released ATO. (314) second delay now (379) seconds late."
"2022-01-25T21:34:00.000-0800","A60 unstaffed, TVP's established per procedure."
"2022-01-25T21:33:00.000-0800","T323 M40-1 BPD hold M40-1 for loud music. (26)"
"2022-01-25T21:33:00.000-0800","(ref 2125) T301 released ATO. (417) second delay now (563) seconds late."
"2022-01-25T21:30:00.000-0800","T225 A30-1 BPD hold A30-1 for someone smoking on board. (25)"
"2022-01-25T21:28:00.000-0800","TBT17 issued Cat B W/O's for the A15XL for early out to run to M2 rack TBT. Train holds and gate cancels."
"2022-01-25T21:28:00.000-0800","R40 unstaffed, TVP's established per procedure."
"2022-01-25T21:25:00.000-0800","T301 C40-1 BPD hold C40-1 for someone exposing themselves. (24)"
"2022-01-25T21:00:00.000-0800","SOFO unstaffed."
"2022-01-25T20:50:00.000-0800","(ref 2043) T219 released ATO, (105) seconds late."
"2022-01-25T20:43:00.000-0800","T219 BPD hold K20-2 for vandalism. (23)"
"2022-01-25T20:02:00.000-0800","OCC/BOCC sprayed."
"2022-01-25T19:25:00.000-0800","T409 Y10-3 ""311"" no ATO doors c3098."
"2022-01-25T19:18:00.000-0800","(ref 1910) T317 released ATO."
"2022-01-25T19:10:00.000-0800","T317 BPD hold C50-1 for disturbance. (22)"
"2022-01-25T19:01:00.000-0800","(ref 1842) T515 released ATO (146) seconds late."
"2022-01-25T18:51:00.000-0800","(ref 1448) Incident operator delivered home."
"2022-01-25T18:42:00.000-0800","T515 BPD hold A50-1 for smokers. (21)"
"2022-01-25T18:25:00.000-0800","T219 A90-1 door open, c1659 doors 6&8 locked out, (56) seconds late."
"2022-01-25T17:40:00.000-0800","T303 BPD hold C50-1 for drinkers, released ATO (238) seconds late. (20)"
"2022-01-25T17:37:00.000-0800","T509 BPD hold A30-1 for disturbance. (19)"
"2022-01-25T16:33:00.000-0800","(ref 1619) T321 released ATO (49) seconds late."
"2022-01-25T16:19:00.000-0800","T321 BPD hold C40-1 for drugs. (18)"
"2022-01-25T16:02:00.000-0800","T515 BPD hold A10-1 for indecent exposure, released ATO (178) seconds late. (17)"
"2022-01-25T15:48:00.000-0800","(ref 1448) Station re-open and operations resumed."
"2022-01-25T15:46:00.000-0800","(ref 1448) S30 Cat B WO cleared W30-1."
"2022-01-25T15:40:00.000-0800","(ref 1448) BPD authorizing movement of train out of W30-1 10 mph."
"2022-01-25T15:32:00.000-0800","(ref 1448) M1 now IC for W30 incident."
"2022-01-25T15:31:00.000-0800","(ref 1448) S30 authorizing to insert the pin and power up."
"2022-01-25T15:27:00.000-0800","(ref 1448) T405 turnback W10-1."
"2022-01-25T15:25:00.000-0800","(ref 1448) Patron is out of trackway W30-1."
"2022-01-25T15:23:00.000-0800","All power off W10-1 to W30-1 single tracking in effect."
"2022-01-25T15:16:00.000-0800","(ref 1448) W30 station is now swept and closed."
"2022-01-25T15:12:00.000-0800","(ref 1448) FDIC Waldvogel on scene."
"2022-01-25T15:09:00.000-0800","(ref 1448) San Mateo FD on scene, M9 1 min out."
"2022-01-25T15:03:00.000-0800","(ref 1448) S30 issued Cat B WO W30-1."
"2022-01-25T15:02:00.000-0800","(ref 1448) M9 10 min ETA with 2 operators."
"2022-01-25T14:58:00.000-0800","(ref 1448) S30 Sgt Rose IC."
"2022-01-25T14:56:00.000-0800","(ref 1448) BPD on scene W30."
"2022-01-25T14:50:00.000-0800","(ref 1448) Train Operator Talavera IC going back to try and locate patron."
"2022-01-25T14:48:00.000-0800","T423 reports patron in the trackway under train. MNL sent."
"2022-01-25T13:45:00.000-0800","(ref 1343) T517 released ATO, (140) second delay."
"2022-01-25T13:43:00.000-0800","T517 BPD hold A10-1, welfare check. (16)"
"2022-01-25T13:41:00.000-0800","T225 9700 SET A80-2, Tango advised. (80) second delay."
"2022-01-25T13:40:00.000-0800","T225 NO ATO doors A80-2, ""311"" issued. [C1266]."
"2022-01-25T13:35:00.000-0800","(ref 1333) T119 released ATO, (165) second delay."
"2022-01-25T13:34:00.000-0800","T119 BPD hold A10-2, drug activity. (15)"
"2022-01-25T13:33:00.000-0800","(ref 1313) T315 released ATO, (218) second delay. Now (309) seconds late."
"2022-01-25T13:25:00.000-0800","(ref 1315) T205 released ATO, (419) second delay.Secondary delays,T107 (269) and  T513 (22) seconds late."
"2022-01-25T13:23:00.000-0800","T401 released ATO, (54) second delay."
"2022-01-25T13:18:00.000-0800","T401 BPD hold K30-1, mask violation. (14)"
"2022-01-25T13:15:00.000-0800","T205 BPD hold A50-1, individual smoking. (13)"
"2022-01-25T13:13:00.000-0800","T315 BPD hold C30-2, fare evader. (12)"
"2022-01-25T12:44:00.000-0800","A90 unstaffed."
"2022-01-25T12:25:00.000-0800","(ref 1221) T221 ATO, C1694 doors 1/3 cutout due to misalignment. (362) second delay. Secondary delay, T123 (304) seconds late."
"2022-01-25T12:21:00.000-0800","T221 Door open A50-1, no suspects. T/O going back to troubleshoot. Tango advised, M/L tech en route."
"2022-01-25T12:20:00.000-0800","(ref 1215) T109 C1562 door fault PDBc/o and dumped. ATO (247) seconds late."
"2022-01-25T12:16:00.000-0800","(ref 1211) T225 released ATO, (180) second delay."
"2022-01-25T12:15:00.000-0800","T109 approaching A10-2 reports heavy brake smell, clear board. Tango advised, T/O will investigate at A10."
"2022-01-25T12:11:00.000-0800","T225 BPD hold K20-2, welfare check. (11)"
"2022-01-25T11:45:00.000-0800","(ref 1142) T325 released ATO, (124) second delay. Secondary delay, T219 (196) seconds late."
"2022-01-25T11:42:00.000-0800","T325 BPD hold K10-2, drug activity. (10)"
